data,ticker_1,ticker_2,janela,correlacao
2023-01-04,^BVSP,BZ=F,12m,0.1689158425362888
2023-01-05,^BVSP,BZ=F,12m,0.1688628339185197
2023-01-06,^BVSP,BZ=F,12m,0.1642054261788503
2023-01-09,^BVSP,BZ=F,12m,0.1665854090465751
2023-01-10,^BVSP,BZ=F,12m,0.16775449264149817
2023-01-11,^BVSP,BZ=F,12m,0.16808341988263864
2023-01-12,^BVSP,BZ=F,12m,0.16367984285981915
2023-01-13,^BVSP,BZ=F,12m,0.1617577638617768
2023-01-16,^BVSP,BZ=F,12m,0.16204139330204914
2023-01-17,^BVSP,BZ=F,12m,0.1646350064885904
2023-01-18,^BVSP,BZ=F,12m,0.16220737311164343
2023-01-19,^BVSP,BZ=F,12m,0.16608535310016725
2023-01-20,^BVSP,BZ=F,12m,0.16479316983215303
2023-01-23,^BVSP,BZ=F,12m,0.16488798106399477
2023-01-24,^BVSP,BZ=F,12m,0.16059502651405075
2023-01-25,^BVSP,BZ=F,12m,0.15905096606396654
2023-01-26,^BVSP,BZ=F,12m,0.160065795735719
2023-01-27,^BVSP,BZ=F,12m,0.1611547139523072
2023-01-30,^BVSP,BZ=F,12m,0.1623258330754306
2023-01-31,^BVSP,BZ=F,12m,0.16127228658008483
2023-02-01,^BVSP,BZ=F,12m,0.16355070817848355
2023-02-02,^BVSP,BZ=F,12m,0.16884820747858997
2023-02-03,^BVSP,BZ=F,12m,0.1716577060724231
2023-02-06,^BVSP,BZ=F,12m,0.16838514832932663
2023-02-07,^BVSP,BZ=F,12m,0.16734930864761136
2023-02-08,^BVSP,BZ=F,12m,0.17190723396477237
2023-02-09,^BVSP,BZ=F,12m,0.17099974760485084
2023-02-10,^BVSP,BZ=F,12m,0.17118571891337606
2023-02-13,^BVSP,BZ=F,12m,0.17085934681944248
2023-02-14,^BVSP,BZ=F,12m,0.17176906879278425
2023-02-15,^BVSP,BZ=F,12m,0.1725059643740127
2023-02-16,^BVSP,BZ=F,12m,0.17318542338215281
2023-02-17,^BVSP,BZ=F,12m,0.16322206049784613
2023-02-20,^BVSP,BZ=F,12m,0.16366167313694205
2023-02-21,^BVSP,BZ=F,12m,0.1683450126791086
2023-02-22,^BVSP,BZ=F,12m,0.18835347308959374
2023-02-23,^BVSP,BZ=F,12m,0.19214133163910518
