ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2
ARGT,BRL=X,0.4522382469943853,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,USDBRL,FX,Cambio,Brasil,Brasil,cambio,alternativos
ARGT,BTC-USD,0.285370582084253,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos
ARGT,BZ=F,0.38958448482132024,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Brent Crude Oil,Commodity,Petroleo,Global,Global,commodity,alternativos
ARGT,ECH,0.6472962224658302,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Chile ETF,ETF,Chile,America Latina,Chile,etf,etfs
ARGT,ENZL,0.6228935249896449,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI New Zealand ETF,ETF,Nova Zelandia,Oceania,Nova Zelandia,etf,etfs
ARGT,EWA,0.6822485313349265,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Australia ETF,ETF,Australia,Oceania,Australia,etf,etfs
ARGT,EWG,0.6743981569517004,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Germany ETF,ETF,Alemanha,Europa,Alemanha,etf,etfs
ARGT,EWH,0.5962478282521199,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Hong Kong ETF,ETF,Hong Kong,Asia,Hong Kong,etf,etfs
ARGT,EWJ,0.6594792275367605,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Japan ETF,ETF,Japao,Asia,Japao,etf,etfs
ARGT,EWT,0.6576663383717452,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Taiwan ETF,ETF,Taiwan,Asia,Taiwan,etf,etfs
ARGT,EWU,0.6834835131016594,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI United Kingdom ETF,ETF,Reino Unido,Europa,Reino Unido,etf,etfs
ARGT,EWW,0.6650986724271564,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI Mexico ETF,ETF,Mexico,America Latina,Mexico,etf,etfs
ARGT,EWY,0.6445313292999914,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI South Korea ETF,ETF,Coreia do Sul,Asia,Coreia do Sul,etf,etfs
ARGT,EZA,0.6414432835672915,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI South Africa ETF,ETF,Africa do Sul,Africa,Africa do Sul,etf,etfs
ARGT,FEZ,0.6877486945065996,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,SPDR EURO STOXX 50 ETF,ETF,Zona do Euro,Europa,Zona do Euro,etf,etfs
ARGT,GC=F,0.40503289437259377,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Ouro Spot/Front,Commodity,Ouro,Global,Global,commodity,alternativos
ARGT,GLD,0.43039663201142153,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,SPDR Gold Shares,ETF,Ouro,Global,Global,etf,etfs
ARGT,IEMG,0.7223261929053163,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares Core MSCI Emerging Markets ETF,ETF,Emerging Markets,Emergentes,Emergentes,etf,etfs
ARGT,INDA,0.6123810279656176,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI India ETF,ETF,India,Asia,India,etf,etfs
ARGT,MCHI,0.5903709621183809,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares MSCI China ETF,ETF,China,Asia,China,etf,etfs
ARGT,QQQ,0.6894007418657387,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs
ARGT,SMAL11.SA,0.41653345751826876,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,iShares Small Caps ETF,ETF,Brasil Small Caps,Brasil,Brasil,etf,etfs
ARGT,SPY,0.7130745831971456,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs
ARGT,USO,0.417467263248479,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,United States Oil Fund,ETF,Petroleo,Global,Global,etf,etfs
ARGT,VEA,0.7224967679723588,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Vanguard FTSE Developed Markets ETF,ETF,Developed Markets,Global,Desenvolvidos,etf,etfs
ARGT,VT,0.7390067269788504,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs
ARGT,XLE,0.5977926170522088,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Energy Select Sector SPDR Fund,ETF,Energia,America do Norte,Estados Unidos,etf,etfs
ARGT,^AXJO,0.330567154385274,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,ASX 200,Equity Index,Broad Market,Oceania,Australia,indice,indices
ARGT,^BVSP,0.45431854127566007,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices
ARGT,^FTSE,0.5177461453970277,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,FTSE 100,Equity Index,Broad Market,Europa,Reino Unido,indice,indices
ARGT,^GDAXI,0.5092705365266047,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,DAX,Equity Index,Broad Market,Europa,Alemanha,indice,indices
ARGT,^GSPC,0.7124498905222979,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices
ARGT,^HSI,0.35279238016135867,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Hang Seng,Equity Index,Broad Market,Asia,Hong Kong,indice,indices
ARGT,^KS11,0.30743540735391545,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Kospi,Equity Index,Broad Market,Asia,Coreia do Sul,indice,indices
ARGT,^MXX,0.46560848485985207,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Mexico IPC,Equity Index,Broad Market,America Latina,Mexico,indice,indices
ARGT,^N225,0.3656272189507356,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Nikkei 225,Equity Index,Broad Market,Asia,Japao,indice,indices
ARGT,^NDX,0.6895299304843456,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices
ARGT,^NSEI,0.3856848551364627,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Nifty 50,Equity Index,Broad Market,Asia,India,indice,indices
ARGT,^NZ50,0.3582691980189237,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,NZX 50,Equity Index,Broad Market,Oceania,Nova Zelandia,indice,indices
ARGT,^STOXX50E,0.5176576434306314,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Euro Stoxx 50,Equity Index,Broad Market,Europa,Zona do Euro,indice,indices
ARGT,^TWII,0.3190751649440944,diaria,total,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices
